Article title,anode,HIL,lumo_HIL,homo_HIL,thickness_HIL,HTL1,lumo_HTL1,homo_HTL1,thickness_HTL1,HTL2,lumo_HTL2,homo_HTL2,thickness_HTL2,HTL3,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,EML,lumo_EML,homo_EML,triplet_HOST,thickness_EML,dopant1,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,ETL1,lumo_ETL1,homo_ETL1,thickness_ETL1,ETL2,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_1,cathode_workfunction,thickness_cathode1,cathode_2,thickness_cathode2,"Turn on Voltage, V at 1 cdm-2","Power efficiency, Lm/W at 1000 cdm-2","Quantum efficiency, %",cd/A
Efficient hole-transporter for phosphorescent organic light emitting diodes with a simple molecular structure,ITO,MoO3,2.3,5.3,1,NPB,2.5,5.2,40,mCP,2.4,5.9,5,,,,,45,3,SPPO1,2.7,6.5,2.8,30,FIrpic,3,5.7,2.7,10,2.8,30,,,,,SPPO1,2.7,6.5,30,LiF,3.5,1,Al,100,3.8,12.1,11.6,27.70
External Quantum Efficiency Above 20% in Deep Blue Phosphorescent Organic Light-Emitting Diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,20,mCP,2.4,5.9,10,,,,,30,3,mCPPO1,2.64,6.13,3,30,FCNIrpic,2.98,5.72,2.74,3,3.36,20,,,,,TSPO1,2.5,6.8,20,LiF,3.5,1,Al,200,3,10.9,19.7,26.99
External Quantum Efficiency Above 20% in Deep Blue Phosphorescent Organic Light-Emitting Diodes,ITO,PEDOT:PSS,3.3,5.2,60,NPB,2.5,5.2,20,mCP,2.4,5.9,10,,,,,30,3,mCPPO1,2.64,6.13,3,30,FCNIrpic,2.98,5.72,2.74,3,3.36,20,,,,,TSPO1,2.5,6.8,20,LiF,3.5,1,Al,200,3,15.1,23.1,33.08
Fabrication and Efficiency Improvement of Soluble Blue Phosphorescent Organic Light-Emitting Diodes Using a Multilayer Structure Based on an Alcohol-Soluble Blue Phosphorescent Emitting Layer,ITO,PEDOT:PSS,3.3,5.2,60,PVK,2.2,5.8,10,,,,,,,,,10,2.58,SPPO13,2.91,6.56,2.35,33,FIrpic,3,5.7,2.7,10,2.7,30,,,,,SPPO13,2.91,6.56,30,LiF,3.5,1,Al,100,4.5,9.52,7.4,15.20
Fabrication and Efficiency Improvement of Soluble Blue Phosphorescent Organic Light-Emitting Diodes Using a Multilayer Structure Based on an Alcohol-Soluble Blue Phosphorescent Emitting Layer,ITO,PEDOT:PSS,3.3,5.2,60,,,,,,,,,,,,,0,0,PVK,2.2,5.8,2.58,10,FIrpic,3,5.7,2.7,10,2.7,60,SPPO13:Firpic,2.91,6.56,30,SPPO13,2.91,6.56,30,LiF,3.5,1,Al,100,3.7,16.38,1,24.00
Fabrication and Efficiency Improvement of Soluble Blue Phosphorescent Organic Light-Emitting Diodes Using a Multilayer Structure Based on an Alcohol-Soluble Blue Phosphorescent Emitting Layer,ITO,PEDOT:PSS,3.3,5.2,60,,,,,,,,,,,,,0,0,PVK,2.2,5.8,2.58,10,FIrpic,3,5.7,2.7,10,2.7,30,,,,,SPPO13:Firpic,2.91,6.56,30,LiF,3.5,1,Al,100,3.5,12.71,10.7,19.30
High triplet energy exciplex host for deep blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,40,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,TCTA:DBFTrz,2.4,5.7,2.83,25,FCNIr,3,5.8,2.9,5,3.36,25,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,20,LiF,3.5,1.5,Al,200,4,12,7.2,17.70
High triplet energy exciplex host for deep blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,40,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,t-DCPDA:DBFTrz,2.4,5.7,2.94,25,FCNIr,3,5.8,2.9,5,3.36,25,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,20,LiF,3.5,1.5,Al,200,4,15,14.7,22.40
High triplet energy exciplex host for deep blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,40,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,DCDPA:DBFTrz,2.3,5.8,2.95,25,FCNIr,3,5.8,2.9,5,3.36,25,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,20,LiF,3.5,1.5,Al,200,4,13,13.9,20.40
High triplet energy exciplex host for deep blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,40,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,TCTA,2.4,5.7,2.82,25,FCNIr,3,5.8,2.9,5,3.36,25,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,20,LiF,3.5,1.5,Al,200,4,5,4.8,8.50
High triplet energy exciplex host for deep blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,40,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,DBFTrz,3.1,6.7,3.07,25,FCNIr,3,5.8,2.9,5,3.36,25,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,20,LiF,3.5,1.5,Al,200,4,12,12.2,18.60
High triplet energy exciplex host for deep blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,40,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,DCDPA,2.3,5.9,3.15,25,FCNIr,3,5.8,2.9,5,3.36,25,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,20,LiF,3.5,1.5,Al,200,4,10,9.8,13.60
High-efficiency and superior color-stability white phosphorescent organic light-emitting diodes based on double mixed-host emission layers,ITO,MoO3,2.3,5.3,2,TCTA,2.4,5.7,50,,,,,,,,,50,2.82,TPBi,2.8,6.2,2.6,30,FIrpic,3,5.7,2.7,10,2.6,30,,,,,TPBi,2.8,6.2,30,Liq,2.8,1,Al,100,3.82,2.26,5,3.78
High-efficiency and superior color-stability white phosphorescent organic light-emitting diodes based on double mixed-host emission layers,ITO,MoO3,2.3,5.3,2,TCTA,2.4,5.7,50,,,,,,,,,50,2.82,TCTA:TPBi,2.4,6.2,2.98,30,FIrpic,3,5.7,2.7,10,2.6,30,,,,,TPBi,2.8,6.2,30,Liq,2.8,1,Al,100,2.83,9.79,8,18.42
High-efficiency and superior color-stability white phosphorescent organic light-emitting diodes based on double mixed-host emission layers,ITO,MoO3,2.3,5.3,2,TCTA,2.4,5.7,50,,,,,,,,,50,2.82,TCTA,2.4,5.7,2.82,30,FIrpic,3,5.7,2.7,10,2.6,30,,,,,TPBi,2.8,6.2,30,Liq,2.8,1,Al,100,3.45,1.13,3,5.47
High-efficiency and superior color-stability white phosphorescent organic light-emitting diodes based on double mixed-host emission layers,ITO,MoO3,2.3,5.3,2,TCTA,2.4,5.7,50,,,,,,,,,50,2.82,TCTA:TPBi,2.4,6.2,2.98,30,FIrpic,3,5.7,2.7,10,2.6,30,,,,,TPBi,2.8,6.2,30,Liq,2.8,1,Al,100,2.86,8.13,10,16.01
High-Efficiency Blue Phosphorescence Organic Light-Emitting Diode with Ambipolar Carbazole-Triazole Host,ITO,,,,,NPB,2.5,5.2,50,mCP,2.4,5.9,10,,,,,60,2.9,CbzTAZ,2.3,5.9,3.1,40,FIrpic,3,5.7,2.7,6,2.7,45,,,,,TAZ,2.7,6.3,45,LiF,3.5,1.2,Al,100,3.5,18.6,19.8,40.90
High-Efficiency Blue Phosphorescence Organic Light-Emitting Diode with Ambipolar Carbazole-Triazole Host,ITO,,,,,NPB,2.5,5.2,50,mCP,2.4,5.9,10,,,,,60,2.9,CbzTAZ,2.3,5.9,3.1,40,FIrpic,3,5.7,2.7,9,2.7,45,,,,,TAZ,2.7,6.3,45,LiF,3.5,1.2,Al,100,3.5,19.9,20.7,43.50
High-Efficiency Blue Phosphorescence Organic Light-Emitting Diode with Ambipolar Carbazole-Triazole Host,ITO,,,,,NPB,2.5,5.2,50,mCP,2.4,5.9,10,,,,,60,2.9,CbzTAZ,2.3,5.9,3.1,40,FIrpic,3,5.7,2.7,12,2.7,45,,,,,TAZ,2.7,6.3,45,LiF,3.5,1.2,Al,100,3.5,18,18.9,40.10
High-Efficiency Blue Phosphorescence Organic Light-Emitting Diode with Ambipolar Carbazole-Triazole Host,ITO,,,,,NPB,2.5,5.2,50,mCP,2.4,5.9,10,,,,,60,2.9,TAZ,2.7,6.3,2.7,40,FIrpic,3,5.7,2.7,9,2.7,45,,,,,TAZ,2.7,6.3,45,LiF,3.5,1.2,Al,100,4,7.7,9.6,22.40
High-Efficiency Blue Phosphorescence Organic Light-Emitting Diode with Ambipolar Carbazole-Triazole Host,ITO,,,,,NPB,2.5,5.2,50,mCP,2.4,5.9,10,,,,,60,2.9,CbzTAZ,2.3,5.9,3.1,40,FIrpic,3,5.7,2.7,9,2.7,47,,,,,TAZ,2.7,6.3,47,LiF,3.5,1.2,Al,100,3,20,20.9,44.50
High-Efficiency Blue Phosphorescence Organic Light-Emitting Diode with Ambipolar Carbazole-Triazole Host,ITO,,,,,NPB,2.5,5.2,50,mCP,2.4,5.9,10,,,,,60,2.9,CbzTAZ,2.3,5.9,3.1,40,FIrpic,3,5.7,2.7,9,2.7,50,,,,,TAZ,2.7,6.3,50,LiF,3.5,1.2,Al,100,3,18.3,20.6,43.00
High-triplet-energy derivatives of indole and carbazole as hosts for blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,3,NPB,2.5,5.2,50,,,,,,,,,50,2.3,5,2.18,5.68,2.7,15,FIrpic,3,5.7,2.7,15,2.6,25,,,,,TPBi,2.8,6.2,25,Ca,2.9,15,Al,120,2.4,4,2,8.00
High-triplet-energy derivatives of indole and carbazole as hosts for blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,3,m-MTDATA,1.9,5.1,50,,,,,,,,,50,2.67,5,2.18,5.68,2.7,15,FIrpic,3,5.7,2.7,15,2.6,28,TPBi,2.8,6.2,25,BCP,3.5,7,3,Ca,2.9,15,Al,120,3.7,6,5,11.00
High-triplet-energy derivatives of indole and carbazole as hosts for blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,3,NPB,2.5,5.2,50,,,,,,,,,50,2.3,6,2.2,5.7,3.06,15,FIrpic,3,5.7,2.7,15,2.6,25,,,,,TPBi,2.8,6.2,25,Ca,2.9,15,Al,120,2.7,4,3,9.00
High-triplet-energy derivatives of indole and carbazole as hosts for blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,3,m-MTDATA,1.9,5.1,50,,,,,,,,,50,2.67,6,2.2,5.7,3.06,15,FIrpic,3,5.7,2.7,15,2.6,28,TPBi,2.8,6.2,25,BCP,3.5,7,3,Ca,2.9,15,Al,120,3,3,2,7.00
High-triplet-energy derivatives of indole and carbazole as hosts for blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,3,m-MTDATA,1.9,5.1,50,,,,,,,,,50,2.67,3,2.21,5.72,3.06,15,FIrpic,3,5.7,2.7,15,2.6,28,TPBi,2.8,6.2,25,BCP,3.5,7,3,Ca,2.9,15,Al,120,3.5,1,1,2.00
Isomeric N-Linked Benzoimidazole Containing New Electron Acceptors for Exciplex Forming Hosts in Highly Efficient Blue Phosphorescent OLEDs,ITO,MoO3,2.3,5.3,8,TAPC,2,5.5,40,mCP,2.4,5.9,5,,,,,45,3,mCP:TPBI,2.8,6.2,2.6,10,FIrpic,3,5.7,2.7,8,2.6,45,TPBi,2.8,6.2,5,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,120,3.1,26.4,13.4,21.00
Isomeric N-Linked Benzoimidazole Containing New Electron Acceptors for Exciplex Forming Hosts in Highly Efficient Blue Phosphorescent OLEDs,ITO,MoO3,2.3,5.3,8,TAPC,2,5.5,40,mCP,2.4,5.9,5,,,,,45,3,mCP:iTPyBIPy,2.55,6.02,2.63,10,FIrpic,3,5.7,2.7,8,2.75,45,iTPyBIPy,2.55,6.02,5,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,120,3.2,25.5,13.5,9.80
Isomeric N-Linked Benzoimidazole Containing New Electron Acceptors for Exciplex Forming Hosts in Highly Efficient Blue Phosphorescent OLEDs,ITO,MoO3,2.3,5.3,8,TAPC,2,5.5,40,mCP,2.4,5.9,5,,,,,45,3,mCP:iTPBIPy,2.55,6,2.64,10,FIrpic,3,5.7,2.7,8,2.75,45,iTPBIPy,2.55,6,5,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,120,3.2,36.9,19.3,28.00
Isomeric N-Linked Benzoimidazole Containing New Electron Acceptors for Exciplex Forming Hosts in Highly Efficient Blue Phosphorescent OLEDs,ITO,MoO3,2.3,5.3,8,TAPC,2,5.5,40,mCP,2.4,5.9,5,,,,,45,3,mCP:iTPyBIB,2.48,5.97,2.68,10,FIrpic,3,5.7,2.7,8,2.75,45,iTPyBIB,2.48,5.97,5,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,120,3.3,14.2,11.5,19.80
Linkage engineering in hosts for dramatic efficiency enhancement of blue phosphorescent organic light-emitting diodes,ITO,MoO3,6.7,9.7,6,TAPC,2,5.5,70,,,,,,,,,70,2.87,FDPCz2,2.46,6.07,2.97,20,FIrpic,3,5.7,2.7,10,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,100,3.5,25.74,17,36.00
Linkage engineering in hosts for dramatic efficiency enhancement of blue phosphorescent organic light-emitting diodes,ITO,MoO3,6.7,9.7,6,TAPC,2,5.5,70,,,,,,,,,70,2.87,FPCz2,2.33,6.07,2.97,20,FIrpic,3,5.7,2.7,10,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,100,3.5,19.5,15,28.00
Linkage engineering in hosts for dramatic efficiency enhancement of blue phosphorescent organic light-emitting diodes,ITO,MoO3,6.7,9.7,6,TAPC,2,5.5,70,,,,,,,,,70,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,10,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,100,3.6,16.38,13,24.00
Manipulating the LUMO distribution of quinoxaline-containing architectures to design electron transport materials: Efficient blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,10,TAPC,2,5.6,70,,,,,,,,,70,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,8,2.75,45,,,,,TmPyPB,2.73,6.68,45,LiF,3.5,1,Al,100,3.6,10.2,11.9,26.30
Manipulating the LUMO distribution of quinoxaline-containing architectures to design electron transport materials: Efficient blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,10,TAPC,2,5.6,70,,,,,,,,,70,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,8,2.75,50,TmPyPB,2.73,6.68,5,Tm3PyQ,2.88,6.01,45,LiF,3.5,1,Al,100,3.8,9.1,8.6,21.80
Manipulating the LUMO distribution of quinoxaline-containing architectures to design electron transport materials: Efficient blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,10,TAPC,2,5.6,70,,,,,,,,,70,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,8,2.75,50,TmPyPB,2.73,6.68,5,Tm4PyQ,2.88,6.02,45,LiF,3.5,1,Al,100,3.6,9.3,8,20.80
Manipulating the LUMO distribution of quinoxaline-containing architectures to design electron transport materials: Efficient blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,10,TAPC,2,5.6,70,,,,,,,,,70,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,8,2.74,45,,,,,3PyDQB,2.73,6.12,45,LiF,3.5,1,Al,100,4.5,9.7,12.6,27.60
Manipulating the LUMO distribution of quinoxaline-containing architectures to design electron transport materials: Efficient blue phosphorescent organic light-emitting diodes,ITO,MoO3,2.3,5.3,10,TAPC,2,5.6,70,,,,,,,,,70,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,8,2.69,45,,,,,4PyDQB,2.75,6.13,45,LiF,3.5,1,Al,100,5.3,7.1,11.5,25.30
Manipulation of electron deficiency of d-carboline derivatives as bipolar hosts for blue phosphorescent organic light-emitting diodes with high efficiency at 1000 cd m-2,ITO,MoO3,2.3,5.3,5,NPB,2.5,5.2,25,mCP,2.4,5.9,10,,,,,35,3,CzBPDCb,2.46,5.7,2.94,20,FIrpic,3,5.7,2.7,9,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,80,3.2,29.1,19.7,41.70
Manipulation of electron deficiency of d-carboline derivatives as bipolar hosts for blue phosphorescent organic light-emitting diodes with high efficiency at 1000 cd m-2,ITO,MoO3,2.3,5.3,5,NPB,2.5,5.2,25,mCP,2.4,5.9,10,,,,,35,3,BDCbBP,2.67,5.92,2.93,20,FIrpic,3,5.7,2.7,9,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,80,3.3,28,19.3,40.80
Manipulation of electron deficiency of d-carboline derivatives as bipolar hosts for blue phosphorescent organic light-emitting diodes with high efficiency at 1000 cd m-2,ITO,MoO3,2.3,5.3,5,NPB,2.5,5.2,25,mCP,2.4,5.9,10,,,,,35,3,Cz35PyDCb,2.39,5.72,2.96,20,FIrpic,3,5.7,2.7,9,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,80,3.1,31.7,20.1,42.60
Manipulation of electron deficiency of d-carboline derivatives as bipolar hosts for blue phosphorescent organic light-emitting diodes with high efficiency at 1000 cd m-2,ITO,MoO3,2.3,5.3,5,NPB,2.5,5.2,25,mCP,2.4,5.9,10,,,,,35,3,Cz26PyDCb,2.45,5.73,2.78,20,FIrpic,3,5.7,2.7,9,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,80,3.4,23,16.5,34.90
Manipulation of Thermally Activated Delayed Fluorescence of Blue Exciplex Emission: Fully Utilizing Exciton Energy for Highly Efficient Organic Light Emitting Diodes with Low Roll-Of,ITO,HAT-CN,5.7,9.5,10,NPB,2.5,5.2,10,TCTA,2.4,5.7,5,TCTA:BTDCb-PCz,2.39,5.75,5,20,2.82,BTDCb-PCz,2.39,5.75,2.96,20,FIrpic,3,5.7,2.7,8,2.75,50,,,,,TmPyPB,2.73,6.68,50,Liq,2.8,1,Al,120,2.7,33.9,18.6,45.40
Manipulation of Thermally Activated Delayed Fluorescence of Blue Exciplex Emission: Fully Utilizing Exciton Energy for Highly Efficient Organic Light Emitting Diodes with Low Roll-Of,ITO,HAT-CN,5.7,9.5,10,NPB,2.5,5.2,10,TCTA,2.4,5.7,5,TCTA:BTCz-PCz,2.49,5.69,5,20,2.82,BTCz-PCz,2.49,5.69,2.91,20,FIrpic,3,5.7,2.7,8,2.75,50,,,,,TmPyPB,2.73,6.68,50,Liq,2.8,1,Al,120,2.9,23.6,16.6,33.00
Manipulation of Thermally Activated Delayed Fluorescence of Blue Exciplex Emission: Fully Utilizing Exciton Energy for Highly Efficient Organic Light Emitting Diodes with Low Roll-Of,ITO,HAT-CN,5.7,9.5,10,NPB,2.5,5.2,10,TCTA,2.4,5.7,5,TCTA:DCb-PCz,2.46,5.71,5,20,2.82,DCb-PCz,2.46,5.71,2.94,20,FIrpic,3,5.7,2.7,8,2.75,50,,,,,TmPyPB,2.73,6.68,50,Liq,2.8,1,Al,120,2.8,31.6,22.8,42.90
Manipulation of Thermally Activated Delayed Fluorescence of Blue Exciplex Emission: Fully Utilizing Exciton Energy for Highly Efficient Organic Light Emitting Diodes with Low Roll-Of,ITO,HAT-CN,5.7,9.5,10,NPB,2.5,5.2,10,TCTA,2.4,5.7,5,TCTA:CzBPDCb,2.46,5.7,5,20,2.82,CzBPDCb,2.46,5.7,2.94,20,FIrpic,3,5.7,2.7,8,2.75,50,,,,,TmPyPB,2.73,6.68,50,Liq,2.8,1,Al,120,3.2,29.1,19.7,41.70
"Modified N,N′-Dicarbazolyl-3,5-benzene as a High Triplet Energy Host Material for Deep-Blue Phosphorescent Organic Light-Emitting Diodes",ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,10,mCP,2.4,5.9,10,,,,,20,3,DCPPO,2.56,6.13,2.99,30,FCNIrpic,2.98,5.72,2.74,10,3.36,15,,,,,TSPO1,2.5,6.8,15,LiF,3.5,1,Al,200,2.9,14.98,18.4,22.20
Molecular design of host materials for high power efficiency in blue phosphorescent organic light-emitting diodes doped with an imidazole ligand based triplet emitter,ITO,PEDOT:PSS,3.3,5.2,60,TAPC,2,5.5,30,,,,,,,,,30,2.87,mCBP-2CN,2.4,6.1,2.8,25,Ir(dbi)3,2.21,4.95,2.7,10,3.36,35,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,30,LiF,3.5,1,Al,200,2.7,39,21.3,46.60
Molecular design of host materials for high power efficiency in blue phosphorescent organic light-emitting diodes doped with an imidazole ligand based triplet emitter,ITO,PEDOT:PSS,3.3,5.2,60,TAPC,2,5.5,30,,,,,,,,,30,2.87,mCBP-CN,2.95,6.06,2.79,25,Ir(dbi)3,2.21,4.95,2.7,10,3.36,35,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,30,LiF,3.5,1,Al,200,2.8,37.4,23.5,47.77
Molecular design of host materials for high power efficiency in blue phosphorescent organic light-emitting diodes doped with an imidazole ligand based triplet emitter,ITO,PEDOT:PSS,3.3,5.2,60,TAPC,2,5.5,30,,,,,,,,,30,2.87,mCBP,2.4,6.1,2.8,25,Ir(dbi)3,2.21,4.95,2.7,10,3.36,35,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,30,LiF,3.5,1,Al,200,3.3,22.5,21.8,36.52
Molecular design of large-bandgap host materials and their application to blue phosphorescent organic light-emitting diodes,ITO,,,,,TAPC,2,5.6,75,,,,,,,,,75,2.87,mP2CZCB,3,5.7,2.93,25,FIrpic,3,5.7,2.7,3,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1.5,Al,100,3,39.2,25.3,51.80
Molecular design of large-bandgap host materials and their application to blue phosphorescent organic light-emitting diodes,ITO,,,,,TAPC,2,5.6,75,,,,,,,,,75,2.87,mP2CZCB,3,5.7,2.93,15,FIrpic,3,5.7,2.7,3,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1.5,Al,100,3,30.5,19.8,36.20
Multiscale Micro-Nano Nested Structures: Engineered Surface Morphology for Efficient Light Escaping in Organic Light-Emitting Diodes,ITO,PEDOT:PSS,3.3,5.2,60,TAPC,2,5.5,45,,,,,,,,,45,2.87,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,8,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,0.5,Al,100,,26.05,15.8,36.40
New carbazole-based bipolar hosts for efficient blue phosphorescent organic light emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,40,TCTA,2.4,5.7,10,,,,,50,2.82,2CzPy,1.98,5.54,2.77,20,FIrpic,3,5.7,2.7,15,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,3.83,26.1,17.1,39.00
New carbazole-based bipolar hosts for efficient blue phosphorescent organic light emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,40,TCTA,2.4,5.7,10,,,,,50,2.82,2TCzPy,1.97,5.43,2.75,20,FIrpic,3,5.7,2.7,15,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,4.14,20.2,14.2,32.20
New carbazole-based bipolar hosts for efficient blue phosphorescent organic light emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,40,TCTA,2.4,5.7,10,,,,,50,2.82,2BFCzPy,2.02,5.45,2.74,20,FIrpic,3,5.7,2.7,15,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,3.68,27.1,16.5,38.40
New carbazole-based bipolar hosts for efficient blue phosphorescent organic light emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,40,TCTA,2.4,5.7,10,,,,,50,2.82,2PBCzPy,1.88,5.29,2.72,20,FIrpic,3,5.7,2.7,15,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,3.38,24.6,13.6,32.60
New carbazole-based bipolar hosts for efficient blue phosphorescent organic light emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,40,TCTA,2.4,5.7,10,,,,,50,2.82,mCP,2.4,5.9,3,20,FIrpic,3,5.7,2.7,15,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,3.76,25.5,17.7,36.10
Novel Design of Iridium Phosphors with Pyridinylphosphinate Ligands for High-Efficiency Blue Organic Light-emitting Diodes,ITO,MoO3,2.3,5.3,3,TAPC,2,5.5,50,,,,,,,,,50,2.87,26DCzPPy,2.6,6.1,2.71,15,FIrpic,3,5.7,2.7,10,2.75,50,,,,,TmPyPB,2.73,6.68,50,LiF,3.5,1,Al,100,3.2,22.41,6.18,9.95
Novel spiro-based host materials for application in blue and white phosphorescent organic light-emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.8,40,,,,,,,,,40,2.87,SF3Cz2,2.02,5.56,2.84,20,FIrpic,3,5.7,2.7,5,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,3.6,33.6,18,40.80
Novel spiro-based host materials for application in blue and white phosphorescent organic light-emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,40,,,,,,,,,40,2.87,SF3Cz1,2.02,5.56,2.84,20,FIrpic,3,5.7,2.7,5,2.75,45,,,,,TmPyPB,2.73,6.68,45,Liq,2.8,2,Al,120,3.6,24.8,16.2,36.60
